ts_code,symbol,name,k,d,j,簇
000046.SZ,46,泛海控股,66.01939137092438,46.60144814241952,104.85527782793412,2.0
000048.SZ,48,京基智农,73.18390463352053,71.2287986150526,77.0941166704564,0.0
000049.SZ,49,德赛电池,81.78222354845467,68.51170979141153,108.32325106254092,0.0
000050.SZ,50,深天马A,78.3510032089221,65.91647293408596,103.22006375859436,0.0
000055.SZ,55,方大集团,27.312306601415784,29.294494319782785,23.347931164681786,1.0
000056.SZ,56,皇庭国际,65.08766040650583,50.72715669621888,93.80866782707972,2.0
000058.SZ,58,深赛格,57.9084657818166,45.51643015864926,82.69253702815129,2.0
000059.SZ,59,华锦股份,80.99716551227137,64.9900548675704,113.01138680167332,0.0
000060.SZ,60,中金岭南,79.55528441640453,63.7927946772554,111.0802638947028,0.0
000061.SZ,61,农产品,81.01462244604554,69.2040361976625,104.6357949428116,0.0
000062.SZ,62,深圳华强,84.94491927187126,75.57446631718804,103.6858251812377,0.0
000063.SZ,63,中兴通讯,81.09333431586913,66.13076985478472,111.01846323803797,0.0
